DiseaseID,DiseaseName,disease_index
MESH:D054198,Precursor Cell Lymphoblastic Leukemia-Lymphoma,0
MESH:D004827,Epilepsy,1
MESH:D006816,Huntington Disease,2
MESH:D008113,Liver Neoplasms,3
MESH:D007938,Leukemia,4
MESH:D064726,Triple Negative Breast Neoplasms,5
MESH:D008228,"Lymphoma, Non-Hodgkin",6
MESH:D016399,"Lymphoma, T-Cell",7
MESH:D012640,Seizures,8
MESH:D019970,Cocaine-Related Disorders,9
MESH:D008223,Lymphoma,10
MESH:D055728,Primary Myelofibrosis,11
MESH:D006948,Hyperkinesis,12
MESH:D009069,Movement Disorders,13
MESH:D011041,Poisoning,14
MESH:D055371,Acute Lung Injury,15
MESH:D009202,Cardiomyopathies,16
MESH:D003092,Colitis,17
MESH:D005119,Extravasation of Diagnostic and Therapeutic Materials,18
MESH:D005355,Fibrosis,19
MESH:D006930,Hyperalgesia,20
MESH:D006943,Hyperglycemia,21
MESH:D007333,Insulin Resistance,22
MESH:D011654,Pulmonary Edema,23
MESH:D015430,Weight Gain,24
MESH:D015431,Weight Loss,25
MESH:D002286,"Carcinoma, Ehrlich Tumor",26
MESH:D015428,Myocardial Reperfusion Injury,27
MESH:D012510,Sarcoma 180,28
MESH:D006332,Cardiomegaly,29
MESH:D000647,Amnesia,30
MESH:D001068,Feeding and Eating Disorders,31
MESH:D001169,"Arthritis, Experimental",32
MESH:D004681,"Encephalomyelitis, Autoimmune, Experimental",33
MESH:D013375,Substance Withdrawal Syndrome,34
MESH:D020520,Brain Infarction,35
MESH:D006965,Hyperplasia,36
MESH:D006973,Hypertension,37
MESH:D011658,Pulmonary Fibrosis,38
MESH:D010190,Pancreatic Neoplasms,39
MESH:D002375,Catalepsy,40
MESH:D056486,Chemical and Drug Induced Liver Injury,41
MESH:D011183,Postoperative Complications,42
MESH:D007674,Kidney Diseases,43
MESH:D011507,Proteinuria,44
MESH:D012279,Rickets,45
MESH:D003872,Dermatitis,46
MESH:D004487,Edema,47
MESH:D006968,"Hypersensitivity, Delayed",48
MESH:D007249,Inflammation,49
MESH:D020078,Neurogenic Inflammation,50
MESH:D013226,Status Epilepticus,51
MESH:D064420,Drug-Related Side Effects and Adverse Reactions,52
MESH:D020262,"Mercury Poisoning, Nervous System",53
MESH:D009336,Necrosis,54
MESH:D014693,Ventricular Fibrillation,55
MESH:D019969,Amphetamine-Related Disorders,56
MESH:D020329,Essential Tremor,57
MESH:D001943,Breast Neoplasms,58
MESH:D002277,Carcinoma,59
MESH:D066253,Vascular Remodeling,60
MESH:D009361,Neoplasm Invasiveness,61
MESH:D005909,Glioblastoma,62
MESH:D008545,Melanoma,63
MESH:D008114,"Liver Neoplasms, Experimental",64
MESH:D009101,Multiple Myeloma,65
MESH:D009369,Neoplasms,66
MESH:D006509,Hepatitis B,67
MESH:D048629,"Micronuclei, Chromosome-Defective",68
MESH:D066126,Cardiotoxicity,69
MESH:D010051,Ovarian Neoplasms,70
MESH:D010146,Pain,71
MESH:D012021,"Reflex, Abnormal",72
MESH:D003929,Diabetic Neuropathies,73
MESH:D007859,Learning Disabilities,74
MESH:D008569,Memory Disorders,75
MESH:D056912,Binge-Eating Disorder,76
MESH:D004409,"Dyskinesia, Drug-Induced",77
MESH:D005234,Fatty Liver,78
MESH:D006529,Hepatomegaly,79
MESH:D006963,Hyperphagia,80
MESH:D009765,Obesity,81
MESH:D012893,Sleep Wake Disorders,82
MESH:D008268,Macular Degeneration,83
MESH:D000544,Alzheimer Disease,84
MESH:D009422,Nervous System Diseases,85
MESH:D010300,Parkinson Disease,86
MESH:D006528,"Carcinoma, Hepatocellular",87
MESH:D003866,Depressive Disorder,88
MESH:D004195,"Disease Models, Animal",89
MESH:D007035,Hypothermia,90
MESH:D015427,Reperfusion Injury,91
MESH:D012164,Retinal Diseases,92
MESH:D018805,Sepsis,93
MESH:D013276,Stomach Ulcer,94
MESH:D008106,"Liver Cirrhosis, Experimental",95
MESH:D008630,Mercury Poisoning,96
MESH:D007948,"Leukemia, Monocytic, Acute",97
MESH:D012734,Disorders of Sex Development,98
MESH:D001929,Brain Edema,99
MESH:D002545,Brain Ischemia,100
MESH:D003921,"Diabetes Mellitus, Experimental",101
MESH:D004283,Dog Diseases,102
MESH:D002534,"Hypoxia, Brain",103
MESH:D002546,"Ischemic Attack, Transient",104
MESH:D009410,Nerve Degeneration,105
MESH:D058186,Acute Kidney Injury,106
MESH:D000419,Albuminuria,107
MESH:D005923,"Glomerulosclerosis, Focal Segmental",108
MESH:D001480,Basal Ganglia Diseases,109
MESH:D007022,Hypotension,110
MESH:D018754,Ventricular Dysfunction,111
MESH:D001145,"Arrhythmias, Cardiac",112
MESH:D002289,"Carcinoma, Non-Small-Cell Lung",113
MESH:D010538,Peritonitis,114
MESH:D059226,Nociceptive Pain,115
MESH:D002780,"Cholestasis, Intrahepatic",116
MESH:D018149,Glucose Intolerance,117
MESH:D010243,Paralysis,118
MESH:D001008,Anxiety Disorders,119
MESH:D009207,Myoclonus,120
MESH:D062025,Organophosphate Poisoning,121
MESH:D003110,Colonic Neoplasms,122
MESH:D012871,Skin Diseases,123
MESH:D006333,Heart Failure,124
MESH:D002294,"Carcinoma, Squamous Cell",125
MESH:D011014,Pneumonia,126
MESH:D009127,Muscle Rigidity,127
MESH:D011470,Prostatic Hyperplasia,128
MESH:D000230,Adenocarcinoma,129
MESH:D007414,Intestinal Neoplasms,130
MESH:D008325,"Mammary Neoplasms, Experimental",131
MESH:D001423,Bacterial Infections and Mycoses,132
MESH:D011537,Pruritus,133
MESH:D017202,Myocardial Ischemia,134
MESH:D015451,"Leukemia, Lymphocytic, Chronic, B-Cell",135
MESH:D015470,"Leukemia, Myeloid, Acute",136
MESH:D008103,Liver Cirrhosis,137
MESH:D055370,Lung Injury,138
MESH:D001745,Urinary Bladder Diseases,139
MESH:D020244,"Infarction, Middle Cerebral Artery",140
MESH:D009203,Myocardial Infarction,141
MESH:D002177,Candidiasis,142
MESH:D005901,Glaucoma,143
MESH:D005921,Glomerulonephritis,144
MESH:D007105,Immune Complex Diseases,145
MESH:D014657,Vasculitis,146
MESH:D002252,Carbon Tetrachloride Poisoning,147
