DiseaseID,DiseaseName,disease_index
MESH:D055371,Acute Lung Injury,15
MESH:D003092,Colitis,17
MESH:D001169,"Arthritis, Experimental",32
MESH:D011183,Postoperative Complications,42
MESH:D064420,Drug-Related Side Effects and Adverse Reactions,52
MESH:D002277,Carcinoma,59
MESH:D005923,"Glomerulosclerosis, Focal Segmental",108
MESH:D012871,Skin Diseases,123
MESH:D007414,Intestinal Neoplasms,130
MESH:D001423,Bacterial Infections and Mycoses,132
MESH:D015470,"Leukemia, Myeloid, Acute",136
MESH:D007744,Obstetric Labor Complications,162
MESH:D006937,Hypercholesterolemia,191
MESH:D006505,Hepatitis,198
MESH:D001919,Bradycardia,234
MESH:D020820,Dyskinesias,249
MESH:D028361,Mitochondrial Diseases,252
MESH:D013119,Spinal Cord Injuries,254
MESH:D034381,Hearing Loss,257
MESH:D012080,Chronic Kidney Disease-Mineral and Bone Disorder,262
MESH:D058226,"Plaque, Atherosclerotic",267
MESH:D012516,Osteosarcoma,276
MESH:D018188,Cardiovirus Infections,284
MESH:D018357,Respiratory Syncytial Virus Infections,285
MESH:D008171,Lung Diseases,288
MESH:D009461,Neurologic Manifestations,292
MESH:D049188,Prenatal Injuries,308
MESH:D018771,Arthralgia,309
MESH:D019457,Chromosome Breakage,313
MESH:D001259,Ataxia,335
MESH:D003967,Diarrhea,336
MESH:D054218,Precursor T-Cell Lymphoblastic Leukemia-Lymphoma,353
MESH:D015529,Choledochal Cyst,357
MESH:D006317,"Hearing Loss, Noise-Induced",378
MESH:D017109,"Akathisia, Drug-Induced",383
MESH:D010302,"Parkinson Disease, Secondary",397
MESH:D051436,"Renal Insufficiency, Chronic",407
MESH:D005705,Gallbladder Diseases,431
MESH:D006342,"Heart Rupture, Post-Infarction",434
MESH:D006030,"Glycosuria, Renal",452
MESH:D011115,Polyneuropathies,470
MESH:D019465,Craniofacial Abnormalities,471
MESH:D012509,Sarcoma,481
MESH:D010149,Postoperative Pain,537
MESH:D007235,"Infant, Premature, Diseases",561
MESH:D011559,Pseudotumor Cerebri,568
MESH:D009497,Neurotic Disorders,576
MESH:D015834,Cochlear Diseases,590
MESH:D006402,Hematologic Diseases,603
MESH:D006501,Hepatic Encephalopathy,604
MESH:D010214,Papillon-Lefevre Disease,622
MESH:D006977,"Hypertension, Renal",653
MESH:D013617,"Tachycardia, Supraventricular",654
MESH:D000743,"Anemia, Hemolytic",666
MESH:D005076,Exanthema,680
MESH:D007826,Laryngismus,693
MESH:D008582,"Meningitis, Aseptic",695
MESH:D010493,Pericarditis,700
MESH:D017285,Polymyositis,702
MESH:D011697,"Purpura, Thrombotic Thrombocytopenic",705
MESH:D012851,"Sinus Thrombosis, Intracranial",712
MESH:D005483,Flushing,722
MESH:D003551,Cysticercosis,744
MESH:D004605,"Elephantiasis, Filarial",746
MESH:D008173,"Lung Diseases, Obstructive",761
MESH:D011472,Prostatitis,781
MESH:D017492,"Keratosis, Seborrheic",788
MESH:D018450,Disease Progression,806
MESH:D017496,Hypopigmentation,808
MESH:D006130,Growth Disorders,876
MESH:D005315,Fetal Diseases,907
MESH:D060585,Fusariosis,935
MESH:D016481,Helicobacter Infections,941
MESH:C536777,Systemic candidiasis,975
MESH:D004698,"Endocarditis, Subacute Bacterial",980
MESH:D008109,"Liver Diseases, Parasitic",999
MESH:D000784,Aortic Dissection,1002
MESH:D009396,Wilms Tumor,1012
MESH:D004716,Endometritis,1015
MESH:D011251,"Pregnancy Complications, Infectious",1024
MESH:D013163,Splenomegaly,1033
MESH:D020149,Manganese Poisoning,1036
MESH:D012216,Rheumatic Diseases,1040
MESH:D008607,Intellectual Disability,1061
MESH:D008548,Melanosis,1104
MESH:D016736,Antiphospholipid Syndrome,1116
MESH:D004916,Erythromelalgia,1122
MESH:D001146,"Arrhythmia, Sinus",1158
MESH:D007040,Hypoventilation,1162
MESH:D009216,Myopia,1164
MESH:D014786,Vision Disorders,1168
MESH:D011350,Proctocolitis,1188
MESH:D005534,Foot Diseases,1205
MESH:D007241,Infectious Bovine Rhinotracheitis,1227
MESH:D057772,Vascular System Injuries,1237
MESH:D020165,Carbamoyl-Phosphate Synthase I Deficiency Disease,1252
