ChemicalID,ChemicalName,drug_index
C046983,06-Paris-LA-66 protocol,0
C039775,"10,11-dihydro-10-hydroxycarbamazepine",1
C028098,10-hydroxycamptothecin,2
C554291,"10-methoxy-2,2-dimethyl-2,6-dihydropyrano(3,2-c)quinolin-5-one",3
C521487,10-nitro-oleic acid,4
C418863,10-propargyl-10-deazaaminopterin,5
C065351,"1,10-diaminodecane",6
C532626,"1-(1'-(2-methylbenzyl)-1,4'-bipiperidin-4-yl)-1H-benzo(d)imidazol-2-(3H)-one",7
C561234,"11-(2-pyrrolidin-1-ylethoxy)-14,19-dioxa-5,7,26-triazatetracyclo(19.3.1.1(2,6).1(8,12))heptacosa-1(25),2(26),3,5,8,10,12(27),16,21,23-decaene",8
C085415,"1-(1,3-benzodioxol-5-ylcarbonyl)piperidine",9
C557705,1-(1-acetyl-piperidine-4-yl)-3-adamantan-1-yl-urea,10
C432747,"1,1-dimethylbutyl-1-deoxy-Delta(9)-THC",11
C447943,11-keto-boswellic acid,12
C561619,1-(1-methanesulfonylpiperidin-4-yl)-3-(4-trifluoromethoxyphenyl)urea,13
C519817,"1-(1-methylethyl)-4-((1-(6-(trifluoromethyl)-3-pyridinyl)-4-piperidinyl)carbonyl)hexahydro-1H-1,4-diazepine",14
C048241,1-(1-naphthyl)piperazine,15
C530925,1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,16
C534222,1-(2-((1-ethoxycarbonyloxyethoxycarbonylmethyl)carbamoyl)-3-phenylpropyldisulfanylmethyl)-3-methylsulfanylpropylamine,17
C508955,1-(2-(2-thienyl)-2-adamantyl) morpholine,18
C501656,"1,2,3,4,8,9,10,10a-octahydro-7bH-cyclopenta(b)(1,4)diazepino(6,7,1hj)indole",19
C063159,1-(2-(3-(4-methoxyphenyl)propoxy)-4-methoxyphenylethyl)-1H-imidazole,20
C014843,"1,2,3,4-tetrahydroisoquinoline",21
C504897,12-(3-adamantan-1-ylureido)dodecanoic acid,22
C463040,"1-(2,3-dichlorobenzoyl)-5-methoxy-2-methyl-(2-(mopholin-4-yl)ethyl)-1H-indole",23
C504317,"1-(2,3-dihydro-1,4-benzodioxin-5-yl)-4-((5-(4-fluorophenyl)-3-pyridinyl)methyl)piperazine",24
C045575,"1,2,4-triazole",25
C494034,"1,2,4-triazolo(1,5-c)pyrimidine",26
C087630,"1,25-dihydroxy-16-ene-vitamin D3",27
C090785,"1,25-dihydroxy-24-oxo-16-ene-vitamin D3",28
C003564,"1,25-dihydroxyergocalciferol",29
C097949,"1,25-dihydroxyvitamin D",30
C513234,12-acetoxyhawtriwaic acid lactone,31
C509618,"1-(2-amino-2-carboxyethyl)-3-(2-carboxybenzyl)pyrimidine-2,4-dione",32
C503634,1-(2-amino-3-methyl-butyryl)-azetidine-2-carbonitrile,33
C070379,"1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester",34
C461261,(1-(2-(bis(4-fluorophenyl)methoxy)ethyl)-4-(3-hydroxy-3-phenylpropyl) piperazinyl decanoate),35
C118156,"1,2-bis(methylsulfonyl)-1--(2-chloroethyl)-2-((1-(4-nitrophenyl)ethoxy)carbonyl)hydrazine",36
C549500,1-(2-bromophenyl)-3-(7-cyano-3H-benzotriazol-4-yl)urea,37
C569107,"1-(2-chlorobenzyl)-5'-phenyl-3'H-spiro(indoline-3,2'-(1,3,4)thiadiazol)-2-one",38
C017139,1-(2-chloroethyl)-1-nitrosourea,39
C472829,"1-(2-cyano-3,12-dioxooleana-1,9-dien-28-oyl) imidazole",40
C487780,"1-(2-deoxy-beta-L-erythropentafuranosyl)-5-methyl-2,4(1H)-pyrimidinone",41
C035384,"1,2-dichloroethylene",42
D014013,"1,2-Dihydroxybenzene-3,5-Disulfonic Acid Disodium Salt",43
C505980,"1-((2-dimethylamino)ethylamino)-4-(2-(3-hydroxymethylpiperidin-1-yl)ethylamino)-5,8-dihydroxyanthracene-9,10-dione",44
D015060,"1,2-Dipalmitoylphosphatidylcholine",45
C568514,"1-(2-fluorophenyl)-3-(2-(morpholin-2-yl)ethyl)-1,3-dihydro-2,1,3-benzothiadiazole 2,2-dioxide",46
C552258,1-(2-hydroxy-1-phenylethyl)-3-(4-(pyridin-4-yl)phenyl)urea,47
C002448,"1,2-linoleoylphosphatidylcholine",48
C058895,1-(2-methoxyphenyl)-4-(4-(2-phthalimido)butyl)piperazine,49
C427703,"1-(2-methoxy-phenyl)-4-(4-(4-(6-imidazol(2,1-b) thiazolyl)-phenoxy)-butyl-4-(14)C)-piperazine dimethane",50
C420062,"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",51
C519696,1-(2-phenethyl)-4-(2-pyridyl)piperazine,52
C098186,1-(2-trifluoromethylphenyl)imidazole,53
C092337,1-(2-(tris(4-methoxyphenyl)methoxy)ethyl)-3-piperidinecarboxylic acid,54
C520255,130-nm albumin-bound paclitaxel,55
C509503,"13,17,21-trimethyldocosa-12,16,20-trien-11-one",56
C503102,1-(3-(2-(1-benzothiophen-5-yl) ethoxy) propyl)-3-azetidinol maleate,57
C404207,"1-(3-(4-(3-chlorophenyl)-1-piperazinyl)propyl)-3,4-dihydro-5-methoxy-2(1H)-quinolinone",58
C552420,"1-(3',4',5'-trimethoxyphenyl)-3-(3'',4''-dimethoxy-2'-hydroxyphenyl)propane",59
C474071,"1-(3,4-dichlorophenyl)-3-azabicyclo-(3.1.0)hexane hydrochloride",60
C572065,"1-(3,4-dihydro-6,7-dimethoxy-2(1H)-isoquinolinyl)-3,3-dimethyl-2-((4-pyridinylmethyl)amino)-1-butanone",61
C000603962,"1-(3,4-dihydroxyphenyl)-3-(2-methoxyphenyl)prop-2-en-1-one",62
C528657,"1,3,5,6-tetrahydroxyxanthone",63
C077059,"1,3,7,9-tetramethyluric acid",64
C473336,"1,3-benzenediamidoethanethiol",65
C489138,"1,3-benzothiazol-2-yl(2-((2-(3-pyridinyl)ethyl)amino)-4-pyrimidinyl)acetonitrile",66
C534147,"1-((3-benzyl-3-methyl-2,3-dihydro-1-benzofuran-6-yl)carbonyl)piperidine",67
C524478,"1,3-bis(4-hydroxyphenyl)-4-methyl-5-(4-(2-piperidinylethoxy)phenol)-1H-pyrazole",68
C028491,"1,3-butylene glycol",69
C065734,1-(3-chlorophenyl)biguanide,70
C015068,1-(3-chlorophenyl)piperazine,71
C579534,"1,3-diacetoxytetradeca-6,12-dien-8,10-diyne",72
C038983,"1,3-dimethylthiourea",73
C051360,"1,3-dipropyl-8-cyclopentylxanthine",74
C013362,13-hydroxylupanine-2-pyrrolecarbonic acid,75
C018406,1-(3-trifluoromethylphenyl)piperazine,76
C531961,"1-(4-(1,1-dimethylheptyl)-2,6-dimethoxyphenyl)-3-methylcyclohexanol",77
C569670,"1-(4-((2-(2-aminopyrimidin-5-yl)-7-methyl-4-morpholinothieno(3,2-d)pyrimidin-6-yl)methyl)piperazin-1-yl)-2-hydroxypropan-1-one",78
C452424,1-(4-(2-(bis(4-fluorophenyl)methoxy)ethyl)piperazinyl)-3-phenylpropan-2-ol,79
C517943,"1-(4-(6-bromobenzo(1,3)dioxol-5-yl)-3a,4,5,9b-tetrahydro-3H-cyclopenta(c)quinolin-8-yl)ethanone",80
C531547,1-((4-(aminocarbonyl)pyridinio)trimethylene)-2-((hydroxyimino)methyl)pyridinium,81
C521339,1-(4-(benzothiazol-2-yloxy)benzyl)piperidine-4-carboxylic acid,82
C500851,"14-benzyloxy-4,5-epoxy-3-hydroxy-17-methylmorphinan-6-one",83
C028474,"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",84
C000628733,1-(4-bromobenzoyl)-3-(4-ferrocenylphenyl) urea,85
C524716,1-(4-carbamoylpyridinium)-4-(4-hydroxyiminomethylpyridinium)but-2-ene,86
C420084,1-(4-chlorobenzoyl)-5-methoxy-2-1H-indole-3-acetic acid 3-(nitrooxymethyl)phenyl ester,87
C504151,"1-(4-chlorophenyl)-4-piperidin-1-yl-1,5-dihydroimidazol-2-one",88
C064620,"1,4-cyclohexanediol",89
C048858,14-dehydroxy-3-glucodigitoxigenin,90
C047778,1-(4'-hydroxy-2'-butenoxy)methyl-2-nitroimidazole,91
C059528,14-hydroxydocosahexaenoic acid,92
C481758,1-(4-hydroxyiminomethylpyridinium)-3-(carbamoylpyridinium) propane dibromide,93
C081949,14-methoxymetopon,94
C050133,14-methyl-8-oxacyclorphan,95
C090859,1-((4-methylsulfonyl)phenyl)-3-trifluoromethyl-5-(4-fluorophenyl)pyrazole,96
C035342,"1,4-naphthoquinone",97
C562246,1-(4-nitro-2-(trifluoromethyl)phenyl)-4-(3-(trifluoromethyl)phenyl)piperazine,98
C547349,14-O-methyloxymorphone,99
C074153,"1,4-phenylenebis(methylene)selenocyanate",100
C477941,"1,4-phenylenebis(methylene)selenocyanate, glutathione conjugate",101
C048927,"1,5-anhydrofructose",102
C106444,1-(5-bromofur-2-il)-2-bromo-2-nitroethene,103
C484309,1-((5-chloro-1H-indol-2-yl)carbonyl)-4-methylpiperazine,104
C042148,15-crown-5,105
C097240,"15-deoxy-delta(12,14)-prostaglandin J2",106
C477819,15-deoxyprostaglandin J2,107
C095653,"1,5-dihydroxyisoquinoline",108
C062028,1-(5-hydroxy-5-methylhexyl)-3-methylxanthine,109
D019307,1-(5-Isoquinolinesulfonyl)-2-Methylpiperazine,110
C025170,15(S)-15-methylprostaglandin E1,111
D015064,"16,16-Dimethylprostaglandin E2",112
C054250,"1-(6-(2,4-dichlorophenyl)-3-pyridazinyl)-4-piperidinol",113
C558737,"1-(6-((2-(dimethylamino)ethyl)(methyl)amino)-1,3-dimethyl-1H-pyrazolo(3,4-b)pyridine-5-carbonyl)-3-(3-isopropoxyphenyl)urea",114
C060229,"1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione",115
C534047,"1-(6,6-bis(4-fluorophenyl)hexyl)-4-(3,4,5-trimethoxybenzyl)piperazine",116
C480140,"1,6-Bis(4-(4-amino-3-hydroxyphenoxy)phenyl)diamantane",117
C499148,"17,17'-bis(cyclopropylmethyl)-6,6',7,7'-tetrahydro-4,5-4',5'-diepoxy-6,6'-(benzylimino)(7,7'-bimorphinan)-3,3',14,14'-tetrol",118
C523983,"1-(7-(2-chlorophenyl)-8-(4-chlorophenyl)-2-methylpyrazolo(1,5-a)-(1,3,5)triazin-4-yl)-3-ethylaminoazetidine-3-carboxylic acid amide",119
C410803,"17-(5'-isoxazolyl)androsta-4,16-dien-3-one",120
D000077713,17 alpha-Hydroxyprogesterone Caproate,121
C448659,17-(dimethylaminoethylamino)-17-demethoxygeldanamycin,122
C021183,"1,7-dimethylxanthine",123
C524733,"17-ethynyl-5-androstene-3, 7, 17-triol",124
C062894,"17-hydroxy-4,7,10,13,15,19-docosahexaenoic acid",125
C057916,17-hydroxyjolkinolide B,126
C008541,17-monochloroacetylajmaline,127
C122128,"1,7-N-heptylene-bis-9,9'-amino-1,2,3,4-tetrahydroacridine",128
C029185,17-pentylsparteine,129
C092396,17-phenyltrinorprostaglandin E2,130
C521270,"18alpha,20beta-hydroxy-11-oxo-norolean-12-en-3beta-yl-2-O-beta-D-glucopyranurosyl-alpha-D-glucopyranosiduronate magnesium tetrahydrate",131
C119129,18alpha-glycyrrhetinic acid,132
C103345,18-methoxycoronaridine,133
C561691,18(R)-hydroxyeicosapentaenoic acid,134
C495172,(19Z)-halichondramide,135
C047948,1'-acetoxychavicol acetate,136
C057996,1'-acetoxyeugenol,137
C548433,"1-(acetyloxy)-3,5,6,6a,7,8,9,10-octahydro-10-hydroxy-7,8-dimethyl-7-(3-methylpenta-2,4-dien-1-yl)naphtho(1,8a-c)furan-3,5-diyl dibutanoate",138
C023850,"1 alpha,24-dihydroxyvitamin D3",139
C042533,1 alpha-hydroxyergocalciferol,140
C036361,"1-amino-1,3-dicarboxycyclopentane",141
C523415,1-amino-2-phosphonomethylcyclopropanecarboxylic acid,142
C087307,1-amino-5-bromouracil,143
C033020,1-aminobenzotriazole,144
C409063,"1-aminocyclopentane-1,2,4-tricarboxylic acid",145
C108242,"1-aminocyclopentane-1,3,4-tricarboxylic acid",146
C095756,"1-aminoindan-1,5-dicarboxylic acid",147
