ChemicalID,ChemicalName,drug_index
C420062,"1-(2-methylbenzoxazol-6-yl)-3-(1,5)naphthyridin-4-yl urea",51
C001369,1-hydroxy-3-amino-2-pyrrolidone,161
C521335,"2-(2'-(dimethylamino)ethyl)-1,2-dihydro-7-ethoxydibenz(de,h)isoquinoline-1,3-dione",218
C045674,"2',3'-O-(2,4,6-trinitro-cyclohexadienylidine)adenosine 5'-triphosphate",246
C000612000,24-diamino-5-phenylthiazole,263
C522027,"(2,8-dioxabicyclo(3.3.0)oct-6-yl)-N-(4-((3,4-methylenedioxyphenyl)sulfonyl-(2-methylpropyl)amino)-3-hydroxy-1-phenylbutan-2-yl) carbamate",306
C505014,"3-(1-adamantyl)-6,7,8,9-tetrahydro-5H-(1,2,4)triazolo(4,3-a)azepine",413
C586245,"3,3-dibromoflavanone",445
D019900,"3,4-Dichloro-N-methyl-N-(2-(1-pyrrolidinyl)-cyclohexyl)-benzeneacetamide, (trans)-Isomer",475
C502015,(3-ethyl-2-methyl-quinolin-6-yl)-(4-methoxycyclohexyl)methanone methanesulfonate,535
C441128,"3-N-1(spermine)-7, 24-dihydroxy-5-cholestane 24-sulfate",560
C584509,"4-(4-((5-(4,5-dimethyl-2-nitrophenyl)-2-furanyl)methylene)-4,5-dihydro-3-methyl-5-oxo-1H-pyrazol-1-yl)benzoic acid",597
C523393,"4-(6-hydroxy-2-naphthyl)-1,3-benzenediol",620
C008842,4-amino-3-phenylbutyric acid,626
C568957,(4-chloro-2-((2-methyl-5-(propylsulfonyl)phenyl)ethynyl)phenoxy)acetic acid,641
C400084,4-chlorobenzyltetrahydroberberine,643
C069037,4(G)-alpha-glucopyranosyl-rutin,655
C041594,4-nonylphenol,684
C112530,5-FU-CDDP protocol,755
C111855,"6-formylindolo(3,2-b)carbazole",809
C550613,"7-(4-fluorobenzylamino)-1,3,4,8-tetrahydropyrrolo(4,3,2-de)quinolin-8(1H)-one",843
C550091,"9,10-dihydro-2,5-dimethoxyphenanthrene-1,7-diol",892
C037112,9-deoxy-delta-9-prostaglandin D2,897
C104288,A 85380,912
D000181,Acrylonitrile,985
C034159,"ACTH (4-10), Phe(7)-",988
C022192,alinidine,1081
C516685,alisol F,1086
